player1,player2,time_stamp,time_to_score,who_serves,who_scores,player_skill1,player_skill2,game_date,game_id,player1_id,player2_id
1,0,36.6253432759386,36.6253432759386,1,1,1,3,2020-11-18,1,Chris,Luis
2,0,49.2787307131517,12.6533874372131,1,1,1,3,2020-11-18,1,Chris,Luis
3,0,86.1921658743249,36.9134351611732,1,1,1,3,2020-11-18,1,Chris,Luis
4,0,112.894463882308,26.7022980079829,1,1,1,3,2020-11-18,1,Chris,Luis
5,0,133.004514215726,20.1100503334184,1,1,1,3,2020-11-18,1,Chris,Luis
5,1,151.444661393946,18.4401471782201,0,2,1,3,2020-11-18,1,Chris,Luis
6,1,175.157473039744,23.7128116457975,0,1,1,3,2020-11-18,1,Chris,Luis
7,1,214.115536881824,38.9580638420804,0,1,1,3,2020-11-18,1,Chris,Luis
8,1,248.844292906593,34.7287560247688,0,1,1,3,2020-11-18,1,Chris,Luis
9,1,281.44027300232,32.5959800957269,0,1,1,3,2020-11-18,1,Chris,Luis
10,1,295.673207176973,14.2329341746528,1,1,1,3,2020-11-18,1,Chris,Luis
10,2,324.70575792154,29.0325507445677,1,2,1,3,2020-11-18,1,Chris,Luis
11,2,343.862792117566,19.1570341960252,1,1,1,3,2020-11-18,1,Chris,Luis
12,2,375.375091528046,31.5122994104801,1,1,1,3,2020-11-18,1,Chris,Luis
13,2,390.265340134161,14.8902486061154,1,1,1,3,2020-11-18,1,Chris,Luis
14,2,420.854495928537,30.5891557943756,0,1,1,3,2020-11-18,1,Chris,Luis
14,3,452.611666902145,31.7571709736084,0,2,1,3,2020-11-18,1,Chris,Luis
15,3,468.105212182351,15.4935452802058,0,1,1,3,2020-11-18,1,Chris,Luis
15,4,479.135999963117,11.0307877807657,0,2,1,3,2020-11-18,1,Chris,Luis
16,4,500.841387037639,21.7053870745229,0,1,1,3,2020-11-18,1,Chris,Luis
17,4,550.36789084931,49.5265038116707,1,1,1,3,2020-11-18,1,Chris,Luis
18,4,575.335276321535,24.9673854722248,1,1,1,3,2020-11-18,1,Chris,Luis
19,4,613.705088805632,38.3698124840973,1,1,1,3,2020-11-18,1,Chris,Luis
20,4,639.25082542479,25.5457366191575,1,1,1,3,2020-11-18,1,Chris,Luis
21,4,660.100683724347,20.8498582995576,1,1,1,3,2020-11-18,1,Chris,Luis
1,0,15.179317416612,15.179317416612,1,1,3,2,2021-04-02,2,Luis,Otto
1,1,27.2798807578076,12.1005633411955,1,2,3,2,2021-04-02,2,Luis,Otto
1,2,39.0019482302729,11.7220674724653,1,2,3,2,2021-04-02,2,Luis,Otto
2,2,66.8916372407581,27.8896890104852,1,1,3,2,2021-04-02,2,Luis,Otto
3,2,106.12575989432,39.2341226535619,1,1,3,2,2021-04-02,2,Luis,Otto
4,2,154.943532437807,48.8177725434868,0,1,3,2,2021-04-02,2,Luis,Otto
4,3,167.109426003219,12.1658935654118,0,2,3,2,2021-04-02,2,Luis,Otto
