player1,player2,time_stamp,time_to_score,who_serves,player_skill1,player_skill2,game_id,player1_id,player2_id
1,0,36.6253432759386,36.6253432759386,1,1,3,1,Chris,Luis
2,0,49.2787307131517,12.6533874372131,1,1,3,1,Chris,Luis
3,0,86.1921658743249,36.9134351611732,1,1,3,1,Chris,Luis
4,0,112.894463882308,26.7022980079829,1,1,3,1,Chris,Luis
5,0,133.004514215726,20.1100503334184,1,1,3,1,Chris,Luis
5,1,151.444661393946,18.4401471782201,0,1,3,1,Chris,Luis
6,1,175.157473039744,23.7128116457975,0,1,3,1,Chris,Luis
7,1,214.115536881824,38.9580638420804,0,1,3,1,Chris,Luis
8,1,248.844292906593,34.7287560247688,0,1,3,1,Chris,Luis
9,1,281.44027300232,32.5959800957269,0,1,3,1,Chris,Luis
10,1,295.673207176973,14.2329341746528,1,1,3,1,Chris,Luis
11,1,324.70575792154,29.0325507445677,1,1,3,1,Chris,Luis
12,1,343.862792117566,19.1570341960252,1,1,3,1,Chris,Luis
13,1,375.375091528046,31.5122994104801,1,1,3,1,Chris,Luis
14,1,390.265340134161,14.8902486061154,1,1,3,1,Chris,Luis
15,1,420.854495928537,30.5891557943756,0,1,3,1,Chris,Luis
15,2,452.611666902145,31.7571709736084,0,1,3,1,Chris,Luis
16,2,468.105212182351,15.4935452802058,0,1,3,1,Chris,Luis
17,2,479.135999963117,11.0307877807657,0,1,3,1,Chris,Luis
18,2,500.841387037639,21.7053870745229,0,1,3,1,Chris,Luis
19,2,550.36789084931,49.5265038116707,1,1,3,1,Chris,Luis
20,2,575.335276321535,24.9673854722248,1,1,3,1,Chris,Luis
21,2,613.705088805632,38.3698124840973,1,1,3,1,Chris,Luis
0,1,9.54082940490668,9.54082940490668,1,1,2,2,Jonny,Quirin
1,1,29.0576023711376,19.5167729662309,1,1,2,2,Jonny,Quirin
2,1,61.0681418056509,32.0105394345133,1,1,2,2,Jonny,Quirin
3,1,87.9966955511725,26.9285537455217,1,1,2,2,Jonny,Quirin
4,1,107.339838583766,19.3431430325937,1,1,2,2,Jonny,Quirin
4,2,135.229527594251,27.8896890104852,0,1,2,2,Jonny,Quirin
4,3,174.463650247813,39.2341226535619,0,1,2,2,Jonny,Quirin
4,4,223.2814227913,48.8177725434868,0,1,2,2,Jonny,Quirin
5,4,235.447316356712,12.1658935654118,0,1,2,2,Jonny,Quirin
5,5,266.74191869089,31.2946023341777,0,1,2,2,Jonny,Quirin
6,5,291.316673551534,24.5747548606445,1,1,2,2,Jonny,Quirin
7,5,305.466535723397,14.1498621718624,1,1,2,2,Jonny,Quirin
7,6,340.357745666533,34.8912099431361,1,1,2,2,Jonny,Quirin
7,7,384.541188003989,44.1834423374562,1,1,2,2,Jonny,Quirin
8,7,422.070115424541,37.5289274205523,1,1,2,2,Jonny,Quirin
9,7,442.167041119257,20.0969256947163,0,1,2,2,Jonny,Quirin
10,7,451.602037174538,9.43499605528026,0,1,2,2,Jonny,Quirin
10,8,482.719201432634,31.1171642580965,0,1,2,2,Jonny,Quirin
10,9,492.979434463351,10.2602330307171,0,1,2,2,Jonny,Quirin
11,9,507.093443277163,14.1140088138116,0,1,2,2,Jonny,Quirin
11,10,538.506572589087,31.4131293119237,1,1,2,2,Jonny,Quirin
11,11,580.955484220159,42.448911631072,1,1,2,2,Jonny,Quirin
12,11,611.215442330368,30.259958110209,1,1,2,2,Jonny,Quirin
13,11,628.889385481905,17.6739431515374,1,1,2,2,Jonny,Quirin
14,11,662.133706544758,33.2443210628531,1,1,2,2,Jonny,Quirin
15,11,699.287357603527,37.153651058769,0,1,2,2,Jonny,Quirin
16,11,710.597910812389,11.3105532088621,0,1,2,2,Jonny,Quirin
16,12,721.187265665376,10.5893548529869,0,1,2,2,Jonny,Quirin
16,13,735.554124706317,14.3668590409413,0,1,2,2,Jonny,Quirin
17,13,761.238770001705,25.6846452953872,0,1,2,2,Jonny,Quirin
18,13,768.318441424529,7.07967142282391,1,1,2,2,Jonny,Quirin
18,14,785.119995674547,16.8015542500183,1,1,2,2,Jonny,Quirin
19,14,813.568808297224,28.448812622677,1,1,2,2,Jonny,Quirin
19,15,847.901195994961,34.3323876977367,1,1,2,2,Jonny,Quirin
19,16,868.543095455959,20.6418994609981,1,1,2,2,Jonny,Quirin
20,16,898.94059696769,30.3975015117312,0,1,2,2,Jonny,Quirin
21,16,934.421392472507,35.480795504817,0,1,2,2,Jonny,Quirin
0,1,43.3818680671604,43.3818680671604,0,2,3,3,Quirin,Luis
0,2,78.2891818290106,34.9073137618502,0,2,3,3,Quirin,Luis
